1,ابتدایی,
2,متوسطه اول,
3,متوسطه دوم,
4,متوسطه نظری,3
5,فنی و حرفه ای,3
6,کار و دانش,3
7,ریاضی فیزیک,4
8,علوم تجربی,4
9,علوم انسانی,4
10,علوم و معارف اسلامی,4
11,صنعت,5
12,خدمات,5
13,کشاورزی,5
14,هنر,5
15,صنعت,6
16,خدمات,6
17,کشاورزی,6
18,برق و رایانه,11
19,تعمیر و نگهداری ماشین آلات,11
20,معماری و ساختمان,11
21,مواد و فرآوری,11
22,مکانیک,11
23,بازرگانی و امور اداری,12
24,بهداشت و سلامت,12
25,مدیریت خانواده,12
53,خدمات,12
26,کشاورزی و غذا,13
27,هنر,14
28,برق,15
29,سرامیک,15
30,شیمی,15
31,عمران,15
32,مواد,15
33,مکانیک,15
34,حمل و نقل,16
35,خدمات اجتماعی,16
36,خدمات غذایی,16
37,صنایع دستی,16
38,کامپیوتر,16
39,مالی و اداری,16
40,هنر,16
41,پوشاک,16
42,بهداشت و درمان,16
43,امور باغی,17
44,امور دام و طیور,17
45,امور زراعی,17
46,جنگل و مرتع,17
47,حشرات مفید,17
48,شیلات,17
49,صنایع غذایی,17
50,مایشن های کشاورزی,17
54,الکتروتکنیک,18
55,الکترونیک,18
56,شبکه و نرم افزار رایانه ای,18
57,الکترونیک و مخابرات دریایی,18
58,مکانیک موتور های دریایی,19
59,ساختمان,20
60,نقشه برداری,20
61,سرامیک,21
62,صنایع شیمیایی,21
63,صنایع نساجی,21
64,متالوژی,21
65,معدن,21
66,مکاترونیک,22
67,صنایع فلزی,22
68,تاسیسات مکانیکی,22
69,مکانیک خودرو,22
70,ماشین ابزار,22
71,صنایع چوب و مبلمان,22
72,چاپ,22
73,تاسیسات,22
74,صنایع چوب و کاغذ,22
75,ساخت و تولید,22
76,نقشه کشی عمومی,22
77,حسابداری,23
78,کودکیاری,24
79,تربیت بدنی,24
82,مدیریت خانواده,25
83,امور باغی,26
84,امور زراعی,26
85,امور دامی,26
86,ماشین های کشاورزی,26
87,صنایع غذایی,26
88,فتو - گرافیک,27
90,طراحی و دوخت,27
91,معماری داخلی,27
92,صنایع دستی,27
93,انیمیشن (پویا نمایی),27
94,گرافیک,27
95,نقاشی,27
96,موسیقی نوازندگی ساز جهانی,27
97,موسیقی نوازندگی ساز ایرانی,27
98,نمایش,27
99,سینما,27
100,نقشه کشی معماری,27
101,طراحی زبان بصری,27
102,مرمت آثار فرهنگی,27
103,موسیقی مبانی آهنگ سازی,27
104,پشتیبانی صحنه,27
105,چاپ دستی,27
106,شیمی صنعتی,30
107,ساختمان,31
108,معماری,31
109,سرامیک,32
110,متالوژی,32
111,تاسیسات,33
112,ساخت و تولید,33
113,سازه های فلزی,33
114,صنایع دریایی,33
115,صنایع چوبی,33
116,عیب یابی و تعمیر,33
117,معدن,33
118,نساجی,33
119,چاپ,33
120,حمل و نقل هوایی,34
121,آتشنشانی,35
122,هتلداری و سیاحتی,35
123,پیرایشگری,35
124,آشپزی,36
125,کنترل تولید مواد,36
126,صنایع دستی ظریف,37
127,هنر فرش,37
128,کامپیوتر,38
129,امور اداری,39
130,امور بازرگانی,39
131,امور مالی,39
132,فرهنگی ادبی,40
133,کارهای هنری در خانه,40
134,موسیقی,40
135,هنر های تجسمی,40
136,هنر های نمایشی,40
137,خیاطی,41
138,کفش و سراجی,41
139,پیراپزشکی,42
80,حمل و نقل,53
81,ناوبری,53
,,
